Humidity,Temperature,Vibration,GLOF_Detected
90.66354373,29.05058126,Yes,Yes
9.975734918,-6.250632323,Yes,No
45.24097966,7.616421147,Yes,No
9.99074431,3.420395444,Yes,No
35.54409151,-14.27343286,No,No
64.37422042,-7.896000039,Yes,No
78.98313336,21.38523986,Yes,Yes
99.31348226,20.76971388,Yes,Yes
48.42019328,-18.64154683,Yes,No
40.90709627,8.763051074,No,No
50.45734608,-5.370557007,No,No
7.91125706,10.43394091,Yes,No
18.11526313,-4.668457343,No,No
61.82628354,-14.50840815,Yes,No
63.6823515,-3.06710862,Yes,No
13.71100414,-19.99156484,No,No
76.98084679,20.76796818,Yes,Yes
15.16906354,14.29844066,No,No
62.62104043,-1.862799374,Yes,No
96.83003907,24.52100409,Yes,Yes
90.23055844,15.12016902,Yes,Yes
81.07475217,23.78382184,Yes,Yes
88.12605694,28.60319325,Yes,Yes
86.93576207,26.65661658,Yes,Yes
2.088918062,7.316489843,No,No
93.57339727,19.83204325,Yes,Yes
74.25816346,-10.55901369,Yes,No
14.62187036,-5.872365693,Yes,No
36.63717245,-4.317007945,Yes,No
45.23625901,13.9130539,Yes,No
95.42466773,27.28500141,Yes,Yes
67.34734851,2.583317559,Yes,No
14.18968443,11.48643713,No,No
9.187339647,12.63553924,Yes,No
97.26346596,15.81797158,Yes,Yes
19.68062824,9.761119786,No,No
3.418886846,-8.908044516,No,No
56.43512532,6.255629153,Yes,No
41.46111568,8.626646189,Yes,No
63.12165057,4.215236786,Yes,No
3.79668542,13.0755983,Yes,No
23.04123128,-11.49064144,Yes,No
88.59415436,24.96140393,Yes,Yes
64.72197175,6.334323162,No,No
86.22835125,18.78537071,Yes,Yes
5.920455221,14.61938617,No,No
91.14732702,19.46304835,Yes,Yes
97.0590607,29.61549721,Yes,Yes
89.62098036,26.58972996,Yes,Yes
84.48045347,26.91353084,Yes,Yes
30.48124024,-14.16096033,Yes,No
91.58104725,22.73628947,Yes,Yes
0.484826834,2.517940377,No,No
82.59534485,22.58920552,Yes,Yes
26.7447132,-19.70265475,No,No
79.75448902,20.9337329,Yes,Yes
41.71430195,-8.789544013,No,No
47.67339915,-17.22626379,No,No
61.74549095,-4.937988921,Yes,No
84.958043,29.36795712,Yes,Yes
1.575686774,-14.81647205,No,No
77.88588393,27.55380633,Yes,Yes
44.80719319,-3.1175327,No,No
56.83324203,7.544152978,Yes,No
48.63484177,-1.219763349,Yes,No
28.8458307,-13.89255298,Yes,No
84.71397511,21.51336841,Yes,Yes
94.41251893,27.35048031,Yes,Yes
19.57863947,3.522082593,No,No
22.35496509,8.445651651,Yes,No
35.58261856,-2.828524844,Yes,No
31.44537459,8.449784004,No,No
89.32872522,23.90050373,Yes,Yes
94.26466966,21.73857042,Yes,Yes
21.19127006,-0.607956579,Yes,No
25.65807156,5.31656064,No,No
90.94937142,20.39523007,Yes,Yes
89.47065274,17.28097248,Yes,Yes
11.19371023,-17.9083204,No,No
46.76289834,9.037533187,No,No
78.29714933,17.8661359,Yes,Yes
40.31551077,0.980068971,No,No
1.889932112,-12.75948436,No,No
24.39679638,12.05350219,Yes,No
84.79268424,29.36861674,Yes,Yes
29.62900034,-8.473755288,Yes,No
26.60979672,4.171795973,Yes,No
55.66898904,-7.607740318,No,No
98.67356853,20.12644865,Yes,Yes
39.39886983,-12.00509517,No,No
33.15250657,6.487622802,Yes,No
3.792982787,13.87525981,No,No
94.71642373,28.39911759,Yes,Yes
99.42044991,18.11696035,Yes,Yes
21.61383945,-18.67754227,No,No
45.32694898,-14.40876889,No,No
80.61493645,23.24505848,Yes,Yes
22.8070977,-18.4331064,Yes,No
82.49787216,29.46402982,Yes,Yes
48.73410351,-16.98593613,No,No
62.59288427,-16.02238865,Yes,No
97.89672029,18.00908498,Yes,Yes
19.23472958,3.965380736,No,No
42.87057371,14.97225546,No,No
53.79464069,-14.23487886,No,No
88.60392121,16.12003492,Yes,Yes
51.9008442,-2.621960222,Yes,No
98.53762476,20.61021751,Yes,Yes
92.02119758,28.91394837,Yes,Yes
71.08347735,3.399134329,No,No
72.98075984,7.188747853,Yes,No
65.555383,-16.52668173,Yes,No
97.72916743,16.07395575,Yes,Yes
78.58939425,23.28799008,Yes,Yes
86.83328858,24.64516623,Yes,Yes
87.73231793,26.289003,Yes,Yes
92.70338095,25.85885698,Yes,Yes
82.23528595,21.94900657,Yes,Yes
84.84463225,28.80101227,Yes,Yes
74.1630406,0.333900532,No,No
32.98917298,12.67092868,No,No
61.63794921,-14.34268072,No,No
73.42738806,-4.249151617,No,No
98.55597097,28.70797552,Yes,Yes
24.06409071,11.78292905,Yes,No
92.13125314,29.397692,Yes,Yes
6.379228912,-8.676638519,No,No
95.37856372,17.21951559,Yes,Yes
76.72928943,24.88566535,Yes,Yes
86.03783287,18.11003346,Yes,Yes
97.55273317,15.30480875,Yes,Yes
23.66498855,-0.51135739,No,No
41.75886832,-15.36352703,No,No
57.16590437,2.374200911,No,No
13.5668926,-5.430027501,Yes,No
14.5397301,-15.61620691,Yes,No
60.74840578,11.40544735,No,No
18.57237323,-8.967414192,Yes,No
78.68893365,26.17954935,Yes,Yes
98.57100602,20.64528866,Yes,Yes
99.30539788,28.65815284,Yes,Yes
26.94065602,-14.63054912,No,No
93.23495383,18.70612899,Yes,Yes
48.13646376,7.844053717,Yes,No
11.99098225,14.02187161,Yes,No
65.02951368,-10.7784294,Yes,No
52.12275998,4.966260533,Yes,No
41.51038322,-8.740977095,No,No
77.09071313,16.67155813,Yes,Yes
15.30482914,-4.115370267,Yes,No
52.47296772,9.047885762,No,No
15.77389172,4.013190388,No,No
59.53635779,-15.98403146,No,No
77.69364994,29.97537792,Yes,Yes
89.63068553,19.12885997,Yes,Yes
4.095772741,-2.487457387,Yes,No
43.41050659,-0.067595952,No,No
70.38973376,-18.68518197,Yes,No
11.54249285,10.56763912,No,No
98.82072549,28.90029162,Yes,Yes
94.60318776,19.6166125,Yes,Yes
50.41880155,8.965342612,No,No
41.13143722,-16.33688459,Yes,No
95.57107428,27.10828846,Yes,Yes
67.63305214,-14.8684905,Yes,No
47.42971923,-5.639369734,No,No
92.94981345,18.45722226,Yes,Yes
83.84879588,24.00525741,Yes,Yes
4.469032301,-10.18407273,No,No
89.83092064,21.20347053,Yes,Yes
84.99689391,26.81554517,Yes,Yes
58.16289725,2.683574454,No,No
86.11256805,24.15550662,Yes,Yes
9.996319356,10.82277021,No,No
94.27887077,22.36902525,Yes,Yes
20.89822973,1.459068367,No,No
8.790292926,-7.663163357,No,No
98.5479746,19.02037729,Yes,Yes
93.82495651,26.40917871,Yes,Yes
91.78270942,18.16474021,Yes,Yes
84.41410141,22.12217879,Yes,Yes
80.79217077,18.09391196,Yes,Yes
87.92240461,18.8243585,Yes,Yes
27.55430465,-4.07650921,Yes,No
93.09230131,16.32435785,Yes,Yes
38.29355681,-2.839062871,Yes,No
97.94317136,17.22846928,Yes,Yes
96.45235601,17.68904774,Yes,Yes
24.87126368,-18.59758198,Yes,No
9.624439664,-3.525465018,Yes,No
93.709526,16.48556053,Yes,Yes
28.65926208,-8.775074226,Yes,No
9.626244496,-14.61877408,Yes,No
18.99542876,9.779846506,Yes,No
86.85323058,28.33721472,Yes,Yes
44.70375868,8.153104495,Yes,No
91.06499327,24.22734468,Yes,Yes
57.14174208,2.565199208,No,No
31.01373977,10.40803835,Yes,No
32.1796777,-1.90038378,Yes,No
82.21071956,16.42795404,Yes,Yes
35.17687048,-4.135837962,No,No
97.22095512,21.47125987,Yes,Yes
88.86631279,23.04213012,Yes,Yes
39.74554402,-4.578891008,Yes,No
90.28187034,29.68681862,Yes,Yes
70.9443483,9.233542106,Yes,No
84.30119337,23.58614272,Yes,Yes
99.63618878,25.35528611,Yes,Yes
86.70413855,17.09404261,Yes,Yes
97.69980867,25.17504567,Yes,Yes
48.41791361,-6.053243326,No,No
24.07477842,-11.00666952,Yes,No
11.40364256,-7.537644531,No,No
99.06857353,17.84869617,Yes,Yes
87.24785541,21.23530657,Yes,Yes
98.46771458,26.35012474,Yes,Yes
43.26430358,7.581230235,No,No
29.64444866,-7.749759603,No,No
95.38830261,29.20633256,Yes,Yes
79.52976354,19.26121372,Yes,Yes
31.36085911,-9.980204826,No,No
67.82698312,-3.676889192,No,No
71.85885067,6.676562892,Yes,No
25.11587176,12.01157591,Yes,No
70.43013596,10.61602774,Yes,No
63.3159244,-6.617283413,Yes,No
59.71827071,-6.575141315,No,No
76.89635653,21.08226531,Yes,Yes
79.92774263,15.86191718,Yes,Yes
52.04621929,-11.43707309,Yes,No
98.62983289,17.04758461,Yes,Yes
95.51165773,24.60155488,Yes,Yes
21.67263937,-11.4349541,Yes,No
95.6097297,18.89043455,Yes,Yes
6.405227262,-2.053753507,Yes,No
88.43991166,23.22090109,Yes,Yes
55.34632105,-10.60994799,Yes,No
63.37797367,12.92239997,No,No
2.449429559,-16.68027824,Yes,No
76.80477843,23.70027831,Yes,Yes
78.12382005,23.35165339,Yes,Yes
65.85251346,5.523408718,No,No
80.1013021,22.14015099,Yes,Yes
92.54715926,24.85429523,Yes,Yes
7.834088858,8.094409187,Yes,No
95.55580273,19.62874343,Yes,Yes
29.52266402,-17.70397323,No,No
90.83507777,22.12040169,Yes,Yes
20.64661601,-4.061178316,Yes,No
62.14896796,3.151317186,Yes,No
10.00622516,6.923769573,No,No
10.52433886,-14.16029976,No,No
1.244436047,-17.44202181,No,No
89.93412041,23.16697335,Yes,Yes
92.26154468,21.94575685,Yes,Yes
18.72517146,-16.8247691,Yes,No
26.08667606,9.125685881,Yes,No
56.35674881,-1.290590934,No,No
98.83368021,24.49068357,Yes,Yes
86.27679076,27.44547841,Yes,Yes
39.25510282,-10.01846914,Yes,No
88.71161388,16.0931154,Yes,Yes
95.97862338,23.04107102,Yes,Yes
2.276535415,-6.59257206,No,No
91.84473704,24.33188113,Yes,Yes
87.89179159,24.40927956,Yes,Yes
44.83560101,6.2734155,No,No
90.83723352,22.01259405,Yes,Yes
91.59151958,23.96746196,Yes,Yes
55.12688896,-2.789171994,No,No
26.24533902,-7.167680497,Yes,No
52.12148395,11.52660569,No,No
70.03120673,10.338752,No,No
31.40213575,10.78119427,No,No
34.52665299,-16.72198916,Yes,No
60.49987898,-16.90610615,Yes,No
91.44586468,24.97940316,Yes,Yes
50.92999534,3.705524022,Yes,No
81.29166902,25.19537979,Yes,Yes
11.61939834,-8.045036454,No,No
81.52021209,15.16501272,Yes,Yes
97.97171914,27.65640734,Yes,Yes
91.4913351,28.92844624,Yes,Yes
91.48414697,26.82486046,Yes,Yes
39.86791145,12.19274001,No,No
7.122395642,-0.395940595,No,No
77.31427933,15.56124128,Yes,Yes
95.1859811,27.35576844,Yes,Yes
6.382761459,14.46015637,No,No
88.88738615,20.63891549,Yes,Yes
84.62160087,25.58512672,Yes,Yes
76.11855954,29.17228388,Yes,Yes
83.6635273,15.60084264,Yes,Yes
87.53407786,29.44524842,Yes,Yes
85.57606489,15.68104059,Yes,Yes
65.98143017,13.37962693,Yes,No
12.74107545,2.953726856,No,No
12.22643354,0.869050133,Yes,No
87.93219434,18.15946079,Yes,Yes
85.43434539,29.53048279,Yes,Yes
6.046155388,-0.007547879,No,No
81.56673031,16.74543476,Yes,Yes
79.09287682,15.2168397,Yes,Yes
96.55575619,18.3871181,Yes,Yes
88.47457477,21.00864986,Yes,Yes
86.92528358,23.76617217,Yes,Yes
87.35703776,15.76917836,Yes,Yes
94.1983167,26.90966723,Yes,Yes
49.27728737,-13.08083939,Yes,No
9.446639728,-1.165764649,Yes,No
42.84453525,8.129270816,Yes,No
88.35561649,15.27012795,Yes,Yes
99.68528648,27.28000066,Yes,Yes
4.784591719,-19.58770433,No,No
91.90053482,26.35352927,Yes,Yes
84.51093178,26.10510213,Yes,Yes
8.847936272,-0.068116415,No,No
97.05614448,24.594302,Yes,Yes
31.32502469,-3.766656136,Yes,No
77.37008455,20.3590817,Yes,Yes
92.6834693,20.41760103,Yes,Yes
92.67956527,28.42200511,Yes,Yes
88.74806867,24.35725749,Yes,Yes
99.32276999,21.27053331,Yes,Yes
50.53171723,-0.943853375,No,No
64.04571616,-14.0231109,Yes,No
82.49997403,17.31843195,Yes,Yes
92.72837778,15.74328866,Yes,Yes
25.59333373,6.949076637,Yes,No
12.33041468,-18.04257775,Yes,No
71.65861436,-5.767721559,Yes,No
84.56207984,22.5047559,Yes,Yes
74.05021189,-19.79473452,No,No
13.16187205,-1.029464553,Yes,No
90.57025687,27.23047272,Yes,Yes
15.66232016,10.25410455,Yes,No
82.83617187,21.30069457,Yes,Yes
32.82876187,1.271696906,Yes,No
35.50767445,4.171535934,Yes,No
4.954148087,-10.40958769,No,No
87.39114102,27.50917261,Yes,Yes
21.81576407,2.498071756,No,No
22.93079681,-0.087750795,Yes,No
81.50203349,19.66407113,Yes,Yes
67.6809775,1.904441824,Yes,No
70.87680484,1.13310776,No,No
34.38235681,-3.06429574,No,No
87.42520965,28.945498,Yes,Yes
54.86147698,-0.307060198,No,No
85.24234549,27.25760939,Yes,Yes
29.53163562,-11.41522433,No,No
85.61831346,24.34784115,Yes,Yes
78.7177131,21.86462416,Yes,Yes
78.05579799,16.62826264,Yes,Yes
37.4969244,-6.559332411,Yes,No
62.56230812,-8.210330449,No,No
91.27432599,21.43589996,Yes,Yes
51.54257576,9.372278356,Yes,No
95.09902407,23.51882769,Yes,Yes
91.62959145,16.47179809,Yes,Yes
76.99774862,25.31311386,Yes,Yes
13.51189858,1.789228867,No,No
93.68496988,17.47643471,Yes,Yes
98.56552579,24.57904273,Yes,Yes
6.108540967,10.22220077,Yes,No
78.04833916,26.77849759,Yes,Yes
86.26655521,19.38240299,Yes,Yes
95.89397138,20.8759672,Yes,Yes
94.45569796,25.81836897,Yes,Yes
27.90616912,2.92174931,Yes,No
58.14259042,-10.71502188,Yes,No
16.40367097,2.161253621,No,No
14.72207267,1.537174422,No,No
86.76269253,21.22532448,Yes,Yes
91.17434291,17.39676114,Yes,Yes
48.07241461,4.250744969,Yes,No
26.10389666,-15.96446184,Yes,No
83.65006007,26.74917556,Yes,Yes
87.12385705,16.6182072,Yes,Yes
90.81147968,19.42167843,Yes,Yes
95.08446867,19.97128108,Yes,Yes
93.18761618,28.99738657,Yes,Yes
45.44977255,-6.573683588,No,No
8.239733531,-12.72616555,No,No
51.69828091,-2.44052919,Yes,No
76.42897443,18.0683076,Yes,Yes
68.31196985,2.378524751,No,No
35.66067864,12.54546688,Yes,No
36.15130048,-11.62761192,Yes,No
83.48132963,21.38831048,Yes,Yes
29.00302928,10.45087239,No,No
95.579995,26.61981392,Yes,Yes
72.06901102,10.34540624,No,No
12.80312725,-6.203332689,Yes,No
77.08545493,21.0150246,Yes,Yes
94.51048832,16.30569732,Yes,Yes
80.69898723,20.0842182,Yes,Yes
27.03558789,0.678158673,Yes,No
9.288452003,-7.084379366,Yes,No
88.55357019,25.33018971,Yes,Yes
53.69885202,-16.67302121,Yes,No
60.40725323,-18.97451949,Yes,No
61.29789842,-3.913483689,No,No
21.02510644,-3.912853598,Yes,No
69.685464,2.050653822,Yes,No
49.47677047,11.272849,No,No
81.4704439,25.41320399,Yes,Yes
36.37634906,10.47790103,Yes,No
23.73428482,-15.06058586,Yes,No
26.59996537,1.685390749,No,No
73.37660903,-10.56961938,Yes,No
78.80960839,24.84720156,Yes,Yes
74.20883482,9.754645714,No,No
45.77820448,-18.00035482,No,No
90.19061046,20.82468002,Yes,Yes
54.15495482,-16.87310342,No,No
12.62089414,-15.8088624,Yes,No
65.80128398,-14.513385,Yes,No
80.25854905,22.49727117,Yes,Yes
90.58107645,26.3668336,Yes,Yes
88.95964911,21.54895843,Yes,Yes
97.56530052,19.51838016,Yes,Yes
87.3811412,29.46476841,Yes,Yes
29.31880701,-11.90279504,No,No
73.30924224,10.86010572,Yes,No
85.53240471,20.85945355,Yes,Yes
9.511801691,-0.564646114,No,No
48.61751016,-8.379975426,Yes,No
99.26326085,29.77634588,Yes,Yes
34.97323171,-14.95159926,No,No
96.80875591,27.42984417,Yes,Yes
84.89541153,16.81005619,Yes,Yes
15.17204619,-16.05058094,Yes,No
77.73276182,29.28810461,Yes,Yes
97.61003337,22.73210662,Yes,Yes
64.43338182,-3.521425322,No,No
84.94452441,18.77439416,Yes,Yes
77.39400669,16.1074272,Yes,Yes
77.95237074,18.83940325,Yes,Yes
90.17999825,29.87796828,Yes,Yes
85.50980845,16.89108771,Yes,Yes
1.638503399,0.754466171,No,No
3.112299413,-9.333368052,No,No
8.003386433,-7.276993992,Yes,No
35.18304083,13.80428341,No,No
20.69420208,-15.90274555,Yes,No
3.019350226,-14.25053427,Yes,No
56.24833488,3.893490336,Yes,No
41.42746034,4.294607889,Yes,No
33.474477,-0.763219461,No,No
84.13671499,15.72092622,Yes,Yes
94.65152598,21.92867956,Yes,Yes
78.49863159,19.96846388,Yes,Yes
80.17348598,27.12661751,Yes,Yes
77.11480991,21.81052695,Yes,Yes
97.80281347,23.77476132,Yes,Yes
51.18837976,-4.063493757,No,No
67.34514701,-3.02244818,Yes,No
1.795969895,8.066988349,No,No
45.01885576,14.1554802,Yes,No
33.41383609,-8.032292725,No,No
92.12542585,28.16864966,Yes,Yes
2.032998925,-10.29595543,Yes,No
29.82633108,9.057100952,Yes,No
44.95958547,13.03209421,No,No
15.36018068,-15.88549628,Yes,No
78.24819443,24.26369322,Yes,Yes
48.35589364,3.955237637,No,No
0.398510675,-9.369273382,Yes,No
90.93008081,27.85048516,Yes,Yes
55.79288905,-13.38014563,Yes,No
15.44850269,-5.902506308,No,No
92.3468285,26.09496916,Yes,Yes
77.54101449,15.63668039,Yes,Yes
40.58353687,-19.95000799,Yes,No
86.21184003,16.62748786,Yes,Yes
96.71448222,20.25688593,Yes,Yes
92.70471512,21.96203851,Yes,Yes
88.53383824,26.02276231,Yes,Yes
58.14330389,-8.144346548,Yes,No
77.84687684,25.72438615,Yes,Yes
87.60509552,20.58988891,Yes,Yes
25.64289586,-5.391597037,No,No
66.6845943,11.18408596,Yes,No
67.81824686,-18.62038452,Yes,No
86.35982911,28.19678561,Yes,Yes
28.70880753,5.787809905,Yes,No
4.471299401,-8.554763103,Yes,No
1.932719907,-13.23312682,No,No
41.66621774,7.302940831,Yes,No
9.776484753,-18.06951933,Yes,No
31.91292445,-7.149063101,Yes,No
50.28257503,-19.55124227,Yes,No
20.39659195,-0.588282808,Yes,No
79.06192727,23.61940805,Yes,Yes
4.679555145,-14.24018795,No,No
53.7297834,4.21221737,Yes,No
19.48711035,-5.132203653,No,No
46.04777297,-7.72515742,Yes,No
98.80148721,16.03353273,Yes,Yes
87.91278993,20.43142985,Yes,Yes
99.54846827,19.19308684,Yes,Yes
88.37430469,21.33317458,Yes,Yes
99.70533735,28.36420354,Yes,Yes
98.18550869,21.56387955,Yes,Yes
51.84349978,10.07637329,No,No
98.52017096,28.62340394,Yes,Yes
79.47747693,15.28059954,Yes,Yes
96.97336186,21.16588669,Yes,Yes
31.47205371,-3.962831816,Yes,No
43.57127849,14.86785726,Yes,No
83.54454355,19.74606038,Yes,Yes
49.37305796,14.96166449,Yes,No
95.54979329,15.98691804,Yes,Yes
80.25065631,18.44677262,Yes,Yes
3.844759438,-18.5229836,Yes,No
56.85303158,-5.533013905,No,No
38.85060498,-16.58364867,No,No
17.58192,-0.269201449,No,No
65.57305006,12.01622651,Yes,No
87.32960668,24.43089139,Yes,Yes
97.14089822,28.36310295,Yes,Yes
88.58536646,24.38874878,Yes,Yes
53.60391251,-14.55075908,No,No
59.93684783,-4.290202202,Yes,No
71.28996157,-16.86217191,No,No
65.098472,-4.988939903,Yes,No
95.05660454,16.8963204,Yes,Yes
76.34544373,23.45383541,Yes,Yes
81.57310468,29.1317131,Yes,Yes
1.90114532,13.19488044,Yes,No
34.06377471,11.31616498,Yes,No
3.143641254,0.680319359,Yes,No
31.45010103,1.112774748,No,No
71.86035899,14.5222473,Yes,No
17.87172529,-1.862358953,No,No
55.67191736,-8.642267279,No,No
17.76999937,-10.96206154,No,No
56.63502131,-6.736543157,Yes,No
19.76636096,-15.48573822,No,No
84.20361644,21.64333227,Yes,Yes
16.53345032,4.976257819,No,No
93.84419815,21.77033404,Yes,Yes
61.99133056,13.95409102,Yes,No
30.37264405,-19.8127854,No,No
34.34467458,-15.68385281,No,No
12.05096885,-8.308405805,No,No
97.03968646,16.59949843,Yes,Yes
51.19053591,-2.733044418,No,No
13.5493156,-12.60771095,No,No
86.85854839,27.41793966,Yes,Yes
39.93531809,-3.89640807,No,No
5.290172819,-15.25690943,No,No
62.01439207,-5.337345771,No,No
14.09402856,11.85686435,No,No
96.13355407,17.19423922,Yes,Yes
78.38659343,23.87209968,Yes,Yes
18.97697557,-10.61834844,No,No
50.37816444,-14.49199458,Yes,No
67.17560832,1.992149114,No,No
43.2660901,3.911144713,No,No
76.74721799,19.40438559,Yes,Yes
52.61739492,11.22260229,Yes,No
98.67074127,21.02442444,Yes,Yes
26.6579503,-8.092195194,Yes,No
54.37545572,11.41363143,No,No
81.81783358,22.79693216,Yes,Yes
85.64634193,27.77018522,Yes,Yes
18.67565521,13.75236319,No,No
96.26918556,25.33658707,Yes,Yes
80.34758439,26.16893426,Yes,Yes
42.33124408,-13.22934702,Yes,No
41.92944637,-0.239207155,Yes,No
40.98439063,6.066275607,No,No
91.24224762,21.65896507,Yes,Yes
95.19652614,20.44486133,Yes,Yes
66.56017052,-4.443200771,No,No
77.62808942,18.034193,Yes,Yes
80.2728632,26.45233701,Yes,Yes
27.18764884,6.543467006,No,No
43.23666774,-8.063324451,No,No
73.68909542,-16.86046783,No,No
7.272425322,-12.52618827,No,No
83.58774652,19.35779904,Yes,Yes
12.56183168,-11.40909381,Yes,No
98.48151973,18.89459227,Yes,Yes
12.61527418,-11.05168218,Yes,No
28.26501603,12.27781614,No,No
78.99190435,22.33528652,Yes,Yes
40.19513091,3.424390211,Yes,No
80.78901882,26.73141259,Yes,Yes
34.55502002,-8.994806297,No,No
14.67844801,-11.43392221,No,No
85.86468328,16.05369456,Yes,Yes
38.89212665,-16.13098918,Yes,No
61.5735763,-0.34419223,No,No
1.681941687,8.729715324,Yes,No
81.4358986,29.33448683,Yes,Yes
17.36064103,12.22697974,No,No
41.16822237,-11.35621056,No,No
94.18830665,23.46612036,Yes,Yes
81.05589254,20.24559509,Yes,Yes
79.43180037,18.05165473,Yes,Yes
52.28746907,-17.43640386,No,No
72.7444894,-11.13803825,Yes,No
99.87778774,26.57535736,Yes,Yes
41.16546012,-13.56654887,Yes,No
88.55434826,26.6029859,Yes,Yes
79.41989303,23.90784152,Yes,Yes
72.26099606,8.248745711,Yes,No
85.21338931,25.21218235,Yes,Yes
52.09807192,11.92728829,Yes,No
50.72987767,2.070604406,Yes,No
12.01692007,-13.35228397,Yes,No
74.65661347,4.084118072,Yes,No
15.78802047,-5.610545261,No,No
74.71182551,7.828859888,Yes,No
98.91676674,26.93354024,Yes,Yes
90.40049315,19.30919138,Yes,Yes
81.36630012,17.55412467,Yes,Yes
81.11113988,24.35183566,Yes,Yes
52.63037054,-5.579379137,Yes,No
1.778081523,-19.74247596,No,No
60.10843322,-0.690066979,No,No
48.62231455,13.06625281,No,No
